date,year,month,month_name,day_of_week,day_type,mode,pax_daily
2024-01,2024,1,Jan,Friday,School Holiday Weekday,Metro bus,301800
2024-01,2024,1,Jan,Friday,School Holiday Weekday,Metro train,416500
2024-01,2024,1,Jan,Friday,School Holiday Weekday,Regional bus,28100
2024-01,2024,1,Jan,Friday,School Holiday Weekday,Regional train,47600
2024-01,2024,1,Jan,Friday,School Holiday Weekday,Tram,420900
2024-01,2024,1,Jan,Monday,School Holiday Weekday,Metro bus,310150
2024-01,2024,1,Jan,Monday,School Holiday Weekday,Metro train,447950
2024-01,2024,1,Jan,Monday,School Holiday Weekday,Regional bus,26800
2024-01,2024,1,Jan,Monday,School Holiday Weekday,Regional train,49000
2024-01,2024,1,Jan,Monday,School Holiday Weekday,Tram,414600
2024-01,2024,1,Jan,Saturday,Weekend,Metro bus,205750
2024-01,2024,1,Jan,Saturday,Weekend,Metro train,318550
2024-01,2024,1,Jan,Saturday,Weekend,Regional bus,20500
2024-01,2024,1,Jan,Saturday,Weekend,Regional train,36200
2024-01,2024,1,Jan,Saturday,Weekend,Tram,332600
2024-01,2024,1,Jan,Sunday,Weekend,Metro bus,139500
2024-01,2024,1,Jan,Sunday,Weekend,Metro train,249650
2024-01,2024,1,Jan,Sunday,Weekend,Regional bus,11500
2024-01,2024,1,Jan,Sunday,Weekend,Regional train,26350
2024-01,2024,1,Jan,Sunday,Weekend,Tram,242700
2024-01,2024,1,Jan,Thursday,School Holiday Weekday,Metro bus,328200
2024-01,2024,1,Jan,Thursday,School Holiday Weekday,Metro train,492750
2024-01,2024,1,Jan,Thursday,School Holiday Weekday,Regional bus,28900
2024-01,2024,1,Jan,Thursday,School Holiday Weekday,Regional train,49550
2024-01,2024,1,Jan,Thursday,School Holiday Weekday,Tram,447950
2024-01,2024,1,Jan,Tuesday,Normal Weekday,Metro bus,388550
2024-01,2024,1,Jan,Tuesday,Normal Weekday,Metro train,550550
2024-01,2024,1,Jan,Tuesday,Normal Weekday,Regional bus,31500
2024-01,2024,1,Jan,Tuesday,Normal Weekday,Regional train,55600
2024-01,2024,1,Jan,Tuesday,Normal Weekday,Tram,480200
2024-01,2024,1,Jan,Tuesday,School Holiday Weekday,Metro bus,310450
2024-01,2024,1,Jan,Tuesday,School Holiday Weekday,Metro train,476800
2024-01,2024,1,Jan,Tuesday,School Holiday Weekday,Regional bus,27050
2024-01,2024,1,Jan,Tuesday,School Holiday Weekday,Regional train,51800
2024-01,2024,1,Jan,Tuesday,School Holiday Weekday,Tram,421150
2024-01,2024,1,Jan,Wednesday,Normal Weekday,Metro bus,401700
2024-01,2024,1,Jan,Wednesday,Normal Weekday,Metro train,538650
2024-01,2024,1,Jan,Wednesday,Normal Weekday,Regional bus,33650
2024-01,2024,1,Jan,Wednesday,Normal Weekday,Regional train,56450
2024-01,2024,1,Jan,Wednesday,Normal Weekday,Tram,500800
2024-01,2024,1,Jan,Wednesday,School Holiday Weekday,Metro bus,302050
2024-01,2024,1,Jan,Wednesday,School Holiday Weekday,Metro train,463800
2024-01,2024,1,Jan,Wednesday,School Holiday Weekday,Regional bus,25900
2024-01,2024,1,Jan,Wednesday,School Holiday Weekday,Regional train,52450
2024-01,2024,1,Jan,Wednesday,School Holiday Weekday,Tram,421200
